Rank,County,Y (Lat),X (Long),Ag District,Cattle
89,Guadalupe,29.58257236,-97.94850308,South Central,41264
12,Hale,34.07051782,-101.8269082,Northern High Plains,147622
195,Hall,34.53074134,-100.6809876,Northern Low Plains,14311
76,Hamilton,31.70479181,-98.11066654,Blacklands,46286
5,Hansford,36.27753179,-101.3545624,Northern High Plains,246871
166,Hardeman,34.28865227,-99.7453851,Northern Low Plains,18458
223,Hardin,30.33238431,-94.39021394,East Texas South,8484
110,Harris,29.85967144,-95.39782106,Upper Coast,35189
125,Harrison,32.54814898,-94.37155736,East Texas North,30584
4,Hartley,35.83996755,-102.6028835,Northern High Plains,313119
179,Haskell,33.17824805,-99.73029401,Southern Low Plains,16119
186,Hays,30.05782657,-98.03104087,South Central,14853
40,Hemphill,35.83750155,-100.2704628,Northern High Plains,64949
61,Henderson,32.21188078,-95.85356847,East Texas North,53402
105,Hidalgo,26.396627,-98.18088681,Lower Valley,36433
67,Hill,31.99079033,-97.1324142,Blacklands,51945
152,Hockley,33.60750375,-102.3430919,Southern High Plains,20830
150,Hood,32.43107878,-97.83280338,Cross Timbers,21035
15,Hopkins,33.14933822,-95.56414173,East Texas North,110278
36,Houston,31.31764137,-95.42225367,East Texas North,70714
211,Howard,32.30610232,-101.4355097,Southern High Plains,11213
172,Hudspeth,31.45613738,-105.3869428,Trans-Pecos,17311
64,Hunt,33.123531,-96.08550014,Blacklands,53035
160,Hutchinson,35.84000866,-101.3547257,Northern High Plains,19147
222,Irion,31.30393203,-100.9824126,Edwards Plateau,8607
103,Jack,33.23345819,-98.1725509,Cross Timbers,36949
87,Jackson,28.95603133,-96.57883268,Upper Coast,41429
204,Jasper,30.74391255,-94.02495849,East Texas South,12706
176,Jeff Davis,30.71559322,-104.1403539,Trans-Pecos,16435
90,Jefferson,29.88425832,-94.1708778,Upper Coast,41254
139,Jim Hogg,27.04340499,-98.6972921,South Texas,24733
94,Jim Wells,27.73131099,-98.0898649,South Texas,39886
39,Johnson,32.37899918,-97.36660504,Blacklands,65951
136,Jones,32.73970429,-99.87850599,Southern Low Plains,25852
83,Karnes,28.90493782,-97.85960621,South Central,43003
53,Kaufman,32.59927808,-96.28779341,Blacklands,59715
198,Kendall,29.9446397,-98.71160511,Edwards Plateau,13812
112,Kenedy,26.92409448,-97.68137783,South Texas,34911
